gene_symbol,protein_name,uniprot_id,organism,target_type,description,function_summary,disease_keywords,chembl_target_id,aliases,pathway,known_drugs,representative_ligands,external_links
PDE4C,"3',5'-cyclic-AMP phosphodiesterase 4C",Q08493,Homo sapiens,Phosphodiesterase,"Hydrolyzes the second messenger cAMP, which is a key regulator of many important physiological processes","Hydrolyzes the second messenger cAMP, which is a key regulator of many important physiological processes",inflammation;respiratory disease,,DPDE1;PDE4C,Cyclic nucleotide signaling; cAMP/cGMP phosphodiesterase regulation,,,UniProt|https://www.uniprot.org/uniprotkb/Q08493/entry;RCSB Search|https://www.rcsb.org/search?request=Q08493
PDE4D,"3',5'-cyclic-AMP phosphodiesterase 4D",Q08499,Homo sapiens,Phosphodiesterase,"Hydrolyzes the second messenger cAMP, which is a key regulator of many important physiological processes","Hydrolyzes the second messenger cAMP, which is a key regulator of many important physiological processes",COPD;asthma;memory;stroke,,DPDE3;PDE4D,Cyclic nucleotide signaling; cAMP/cGMP phosphodiesterase regulation,,,UniProt|https://www.uniprot.org/uniprotkb/Q08499/entry;RCSB Search|https://www.rcsb.org/search?request=Q08499
PDE5A,"cGMP-specific 3',5'-cyclic phosphodiesterase",O76074,Homo sapiens,Phosphodiesterase,"Plays a role in signal transduction by regulating the intracellular concentration of cyclic nucleotides. This phosphodiesterase catalyzes the specific hydrolysis of cGMP to 5'-GMP (PubMed:15489334, PubMed:9714779). Specifically regulates nitric-oxide-generated cGMP (PubMed:15489334)","Plays a role in signal transduction by regulating the intracellular concentration of cyclic nucleotides. This phosphodiesterase catalyzes the specific hydrolysis of cGMP to 5'-GMP (PubMed:15489334, PubMed:9714779). Specifically regulates nitric-oxide-generated cGMP (PubMed:15489334)",pulmonary hypertension;erectile dysfunction;cardiovascular disease,,PDE5;PDE5A,Cyclic nucleotide signaling; cAMP/cGMP phosphodiesterase regulation,,,UniProt|https://www.uniprot.org/uniprotkb/O76074/entry;RCSB Search|https://www.rcsb.org/search?request=O76074
PDE6A,"Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha",P16499,Homo sapiens,Phosphodiesterase,"Rod-specific cGMP phosphodiesterase that catalyzes the hydrolysis of 3',5'-cyclic GMP (PubMed:20940301). This protein participates in processes of transmission and amplification of the visual signal","Rod-specific cGMP phosphodiesterase that catalyzes the hydrolysis of 3',5'-cyclic GMP (PubMed:20940301). This protein participates in processes of transmission and amplification of the visual signal",retinal degeneration;vision disorder,,PDE6A;PDEA,Cyclic nucleotide signaling; cAMP/cGMP phosphodiesterase regulation,,,UniProt|https://www.uniprot.org/uniprotkb/P16499/entry;RCSB Search|https://www.rcsb.org/search?request=P16499
PDE6B,"Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit beta",P35913,Homo sapiens,Phosphodiesterase,"Rod-specific cGMP phosphodiesterase that catalyzes the hydrolysis of 3',5'-cyclic GMP (PubMed:20940301). Necessary for the formation of a functional phosphodiesterase holoenzyme (By similarity). Involved in retinal circadian rhythm photoentrainment via modulation of UVA and orange light-induced phase-shift of the retina clock (By similarity). May participate in processes of transmission and amplification of the visual signal (PubMed:8394174)","Rod-specific cGMP phosphodiesterase that catalyzes the hydrolysis of 3',5'-cyclic GMP (PubMed:20940301). Necessary for the formation of a functional phosphodiesterase holoenzyme (By similarity). Involved in retinal circadian rhythm photoentrainment via modulation of UVA and orange light-induced phase-shift of the retina clock (By similarity). May participate in processes of transmission and amplification of the visual signal (PubMed:8394174)",retinitis pigmentosa;vision disorder,,PDE6B;PDEB,Cyclic nucleotide signaling; cAMP/cGMP phosphodiesterase regulation,,,UniProt|https://www.uniprot.org/uniprotkb/P35913/entry;RCSB Search|https://www.rcsb.org/search?request=P35913
PDE6C,"Cone cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha'",P51160,Homo sapiens,Phosphodiesterase,"As cone-specific cGMP phosphodiesterase, it plays an essential role in light detection and cone phototransduction by rapidly decreasing intracellular levels of cGMP","As cone-specific cGMP phosphodiesterase, it plays an essential role in light detection and cone phototransduction by rapidly decreasing intracellular levels of cGMP",achromatopsia;vision disorder,,PDE6C;PDEC,Cyclic nucleotide signaling; cAMP/cGMP phosphodiesterase regulation,,,UniProt|https://www.uniprot.org/uniprotkb/P51160/entry;RCSB Search|https://www.rcsb.org/search?request=P51160
PDE6D,"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta",O43924,Homo sapiens,Phosphodiesterase regulator,"Promotes the release of prenylated target proteins from cellular membranes (PubMed:9712853). Modulates the activity of prenylated or palmitoylated Ras family members by regulating their subcellular location (PubMed:22002721, PubMed:23698361). Required for normal ciliary targeting of farnesylated target proteins, such as INPP5E (PubMed:24166846). Required for RAB28 localization to the cone cell outer segments in the retina (By similarity). Modulates the subcellular location of target proteins by acting as a GTP specific dissociation inhibitor (GDI) (By similarity). Increases the affinity of ARL3 for GTP by several orders of magnitude. Stabilizes ARL3-GTP by decreasing the nucleotide dissociation rate (By similarity)","Promotes the release of prenylated target proteins from cellular membranes (PubMed:9712853). Modulates the activity of prenylated or palmitoylated Ras family members by regulating their subcellular location (PubMed:22002721, PubMed:23698361). Required for normal ciliary targeting of farnesylated target proteins, such as INPP5E (PubMed:24166846). Required for RAB28 localization to the cone cell outer segments in the retina (By similarity). Modulates the subcellular location of target proteins by acting as a GTP specific dissociation inhibitor (GDI) (By similarity). Increases the affinity of ARL3 for GTP by several orders of magnitude. Stabilizes ARL3-GTP by decreasing the nucleotide dissociation rate (By similarity)",retinal disease;prenylated protein trafficking,,PDE6D;PDED,Cyclic nucleotide signaling; cAMP/cGMP phosphodiesterase regulation,,,UniProt|https://www.uniprot.org/uniprotkb/O43924/entry;RCSB Search|https://www.rcsb.org/search?request=O43924
PDE6G,"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma",P18545,Homo sapiens,Phosphodiesterase regulator,Participates in processes of transmission and amplification of the visual signal. cGMP-PDEs are the effector molecules in G-protein-mediated phototransduction in vertebrate rods and cones,Participates in processes of transmission and amplification of the visual signal. cGMP-PDEs are the effector molecules in G-protein-mediated phototransduction in vertebrate rods and cones,retinal disease;phototransduction,,PDE6G;PDEG,Cyclic nucleotide signaling; cAMP/cGMP phosphodiesterase regulation,,,UniProt|https://www.uniprot.org/uniprotkb/P18545/entry;RCSB Search|https://www.rcsb.org/search?request=P18545
PDE6H,"Retinal cone rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma",Q13956,Homo sapiens,Phosphodiesterase regulator,Participates in processes of transmission and amplification of the visual signal. cGMP-PDEs are the effector molecules in G-protein-mediated phototransduction in vertebrate rods and cones,Participates in processes of transmission and amplification of the visual signal. cGMP-PDEs are the effector molecules in G-protein-mediated phototransduction in vertebrate rods and cones,retinal disease;phototransduction,,PDE6H,Cyclic nucleotide signaling; cAMP/cGMP phosphodiesterase regulation,,,UniProt|https://www.uniprot.org/uniprotkb/Q13956/entry;RCSB Search|https://www.rcsb.org/search?request=Q13956
PDE7A,"High affinity 3',5'-cyclic-AMP phosphodiesterase 7A",Q13946,Homo sapiens,Phosphodiesterase,"Hydrolyzes the second messenger cAMP, which is a key regulator of many important physiological processes (PubMed:19350606, PubMed:8389765, PubMed:9195912). May have a role in muscle signal transduction (PubMed:9195912)","Hydrolyzes the second messenger cAMP, which is a key regulator of many important physiological processes (PubMed:19350606, PubMed:8389765, PubMed:9195912). May have a role in muscle signal transduction (PubMed:9195912)",inflammation;immune disease,,HCP1;PDE7A,Cyclic nucleotide signaling; cAMP/cGMP phosphodiesterase regulation,,,UniProt|https://www.uniprot.org/uniprotkb/Q13946/entry;RCSB Search|https://www.rcsb.org/search?request=Q13946
PDE7B,"3',5'-cyclic-AMP phosphodiesterase 7B",Q9NP56,Homo sapiens,Phosphodiesterase,"Hydrolyzes the second messenger cAMP, which is a key regulator of many important physiological processes (PubMed:10814504, PubMed:10872825). May be involved in the control of cAMP-mediated neural activity and cAMP metabolism in the brain (PubMed:10814504)","Hydrolyzes the second messenger cAMP, which is a key regulator of many important physiological processes (PubMed:10814504, PubMed:10872825). May be involved in the control of cAMP-mediated neural activity and cAMP metabolism in the brain (PubMed:10814504)",inflammation;neurological disease,,PDE7B,Cyclic nucleotide signaling; cAMP/cGMP phosphodiesterase regulation,,,UniProt|https://www.uniprot.org/uniprotkb/Q9NP56/entry;RCSB Search|https://www.rcsb.org/search?request=Q9NP56
PDE8A,"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A",O60658,Homo sapiens,Phosphodiesterase,"Hydrolyzes the second messenger cAMP, which is a key regulator of many important physiological processes (PubMed:18983167). May be involved in maintaining basal levels of the cyclic nucleotide and/or in the cAMP regulation of germ cell development (PubMed:18983167). Binding to RAF1 reduces RAF1 'Ser-259' inhibitory-phosphorylation and stimulates RAF1-dependent EGF-activated ERK-signaling (PubMed:23509299). Protects against cell death induced by hydrogen peroxide and staurosporine (PubMed:23509299)","Hydrolyzes the second messenger cAMP, which is a key regulator of many important physiological processes (PubMed:18983167). May be involved in maintaining basal levels of the cyclic nucleotide and/or in the cAMP regulation of germ cell development (PubMed:18983167). Binding to RAF1 reduces RAF1 'Ser-259' inhibitory-phosphorylation and stimulates RAF1-dependent EGF-activated ERK-signaling (PubMed:23509299). Protects against cell death induced by hydrogen peroxide and staurosporine (PubMed:23509299)",endocrine disease;steroidogenesis,,PDE8;PDE8A,Cyclic nucleotide signaling; cAMP/cGMP phosphodiesterase regulation,,,UniProt|https://www.uniprot.org/uniprotkb/O60658/entry;RCSB Search|https://www.rcsb.org/search?request=O60658
PDE8B,"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8B",O95263,Homo sapiens,Phosphodiesterase,"Hydrolyzes the second messenger cAMP, which is a key regulator of many important physiological processes. May be involved in specific signaling in the thyroid gland","Hydrolyzes the second messenger cAMP, which is a key regulator of many important physiological processes. May be involved in specific signaling in the thyroid gland",thyroid disease;adrenal disease,,PDE8B,Cyclic nucleotide signaling; cAMP/cGMP phosphodiesterase regulation,,,UniProt|https://www.uniprot.org/uniprotkb/O95263/entry;RCSB Search|https://www.rcsb.org/search?request=O95263
PDE9A,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",O76083,Homo sapiens,Phosphodiesterase,"Specifically hydrolyzes the second messenger cGMP, which is a key regulator of many important physiological processes. Highly specific: compared to other members of the cyclic nucleotide phosphodiesterase family, has the highest affinity and selectivity for cGMP (PubMed:18757755, PubMed:21483814, PubMed:9624146). Specifically regulates natriuretic-peptide-dependent cGMP signaling in heart, acting as a regulator of cardiac hypertrophy in myocytes and muscle. Does not regulate nitric oxide-dependent cGMP in heart (PubMed:25799991). Additional experiments are required to confirm whether its ability to hydrolyze natriuretic-peptide-dependent cGMP is specific to heart or is a general feature of the protein (Probable). In brain, involved in cognitive function, such as learning and long-term memory (By similarity)","Specifically hydrolyzes the second messenger cGMP, which is a key regulator of many important physiological processes. Highly specific: compared to other members of the cyclic nucleotide phosphodiesterase family, has the highest affinity and selectivity for cGMP (PubMed:18757755, PubMed:21483814, PubMed:9624146). Specifically regulates natriuretic-peptide-dependent cGMP signaling in heart, acting as a regulator of cardiac hypertrophy in myocytes and muscle. Does not regulate nitric oxide-dependent cGMP in heart (PubMed:25799991). Additional experiments are required to confirm whether its ability to hydrolyze natriuretic-peptide-dependent cGMP is specific to heart or is a general feature of the protein (Probable). In brain, involved in cognitive function, such as learning and long-term memory (By similarity)",heart failure;neurodegeneration;Alzheimer disease,,PDE9;PDE9A,Cyclic nucleotide signaling; cAMP/cGMP phosphodiesterase regulation,,,UniProt|https://www.uniprot.org/uniprotkb/O76083/entry;RCSB Search|https://www.rcsb.org/search?request=O76083
